corpus,sample_id,AWC,CTC,CVC
Bergelson,B-01,14096,377,1213
Bergelson,B-02,20115,575,1864
Bergelson,B-03,9239,309,1982
Bergelson,B-04,16993,521,1634
Bergelson,B-06,11969,151,565
Bergelson,B-07,24483,463,1168
Bergelson,B-08,38610,412,946
Bergelson,B-09,12712,461,1440
Bergelson,B-10,19936,412,1270
Bergelson,B-11,19659,744,2282
Bergelson,B-12,27923,301,632
Bergelson,B-13,13365,164,548
Bergelson,B-14,17523,524,1889
Bergelson,B-15,22697,511,2038
Bergelson,B-16,17907,257,684
Bergelson,B-17,20677,895,2266
Bergelson,B-18,36100,612,1590
Bergelson,B-19,31351,910,1639
Bergelson,B-20,30411,703,1468
Bergelson,B-21,18748,437,1983
Bergelson,B-22,15549,386,1958
Bergelson,B-23,14871,453,2174
Bergelson,B-25,2872,151,1373
Bergelson,B-26,11719,186,794
Bergelson,B-27,20716,729,1672
Bergelson,B-28,13564,72,177
Bergelson,B-29,10774,280,1460
Bergelson,B-30,23831,623,1430
Bergelson,B-31,13204,346,1637
Bergelson,B-32,30397,216,565
Bergelson,B-33,22752,1425,5130
Bergelson,B-34,5047,157,841
Bergelson,B-35,10792,310,769
Bergelson,B-36,19518,394,1409
Bergelson,B-37,19114,225,670
Bergelson,B-38,15196,532,1987
Bergelson,B-39,19926,378,1408
Bergelson,B-40,15221,549,2097
Bergelson,B-41,15597,377,1334
Bergelson,B-42,18483,677,2087
Bergelson,B-43,18725,458,1314
Bergelson,B-44,3633,154,1526
Bergelson,B-45,4221,133,774
Bergelson,B-46,29032,600,1875
Warlaumont,W-204,21911,301,630
Warlaumont,W-274,7733,226,769
Warlaumont,W-340,7203,148,575
Warlaumont,W-747,35174,634,1507
Warlaumont,W-848,16635,488,2125
Warlaumont,W-955,14071,270,1807
Warlaumont,W-973,25499,484,1288
VanDam,V-S1MA,12562,707,2427
VanDam,V-S1RJ,5389,236,1436
VanDam,V-S1VL,5955,88,736
McDivitt,M-101,1065,69,2133
McDivitt,M-102,21181,578,1862
McDivitt,M-103,5064,172,1235
McDivitt,M-104,9537,427,2117
McDivitt,M-105,5507,76,258
McDivitt,M-106,6208,63,285
McDivitt,M-107,7177,150,617
