aclew_id,corpus,id,time
9803,Bergelson,B-01,57599990
673,Bergelson,B-02,57599990
8204,Bergelson,B-03,57599990
2101,Bergelson,B-04,44969740
8638,Bergelson,B-06,50453860
6937,Bergelson,B-07,44988930
6563,Bergelson,B-08,57599990
1401,Bergelson,B-09,57599990
5242,Bergelson,B-10,57599990
7392,Bergelson,B-11,41744740
4622,Bergelson,B-12,44410930
1208,Bergelson,B-13,44742240
2927,Bergelson,B-14,57599990
5480,Bergelson,B-15,57599990
2779,Bergelson,B-16,57599990
8688,Bergelson,B-17,57599990
9230,Bergelson,B-18,46896300
8786,Bergelson,B-19,46277610
3340,Bergelson,B-20,57599990
980,Bergelson,B-21,51258740
2197,Bergelson,B-22,43989990
9077,Bergelson,B-23,57599860
7965,Bergelson,B-25,36535930
6586,Bergelson,B-26,57599990
4989,Bergelson,B-27,57599990
1844,Bergelson,B-28,47159110
2880,Bergelson,B-29,40857740
6205,Bergelson,B-30,57599990
4041,Bergelson,B-31,57599990
7186,Bergelson,B-32,57599990
955,Bergelson,B-33,37160800
9645,Bergelson,B-34,30687990
7117,Bergelson,B-35,37675360
5750,Bergelson,B-36,47045550
5407,Bergelson,B-37,57599990
7072,Bergelson,B-38,47070990
1849,Bergelson,B-39,47063240
677,Bergelson,B-40,57599990
625,Bergelson,B-41,57599990
2489,Bergelson,B-42,57599990
4051,Bergelson,B-43,47892800
2200,Bergelson,B-44,41403800
4604,Bergelson,B-45,50457740
1427,Bergelson,B-46,40520800
9733,McDivitt,M-101,43980000
1902,McDivitt,M-102,49500000
3263,McDivitt,M-103,35160000
5134,McDivitt,M-104,43140000
8013,McDivitt,M-105,9600000
4081,McDivitt,M-106,18720000
8496,McDivitt,M-107,31980000
7928,Warlaumont,W-204,57600000
8684,Warlaumont,W-274,36000000
9755,Warlaumont,W-340,41220000
2535,Warlaumont,W-747,47100000
5481,Warlaumont,W-848,45240000
5835,Warlaumont,W-955,43860000
4552,Warlaumont,W-973,57060000
NA,VanDam,S1MA,33420000
NA,VanDam,S1RJ,47640000
NA,VanDam,S1VL,46860000
